rank,catchment_code,catchment_name,state,dpa_gp_status_2025,opportunity_score,need_index,population_latest,population_growth_1y_pct,median_age,median_household_income_weekly,seifa_irsd_score_2021,sa2_code,sa2_name
1,GP3093,Maryborough (Qld.),QLD,Y,97.18,0.9373,10891,3.823,55,959,894,319051525,Maryborough Surrounds - South
2,GP3151,Tin Can Bay,QLD,Y,96.87,0.9305,7080,2.268,62,790,901,319031511,Cooloola
3,GP3001,Agnes Water - Miriam Vale,QLD,Y,95.8,0.9067,7886,4.575,52,1009,918,308051530,Agnes Water - Miriam Vale
4,GP3067,Hervey Bay,QLD,Y,95.64,0.9032,11634,2.088,55,976,904,319051522,Burrum - Fraser
5,GP3057,Gin Gin,QLD,Y,95.4,0.8977,5745,2.043,52,954,854,319021504,Gin Gin
6,GP3107,Nanango - Blackbutt,QLD,Y,95.08,0.8907,10664,1.659,54,883,863,319021509,Nanango
7,GP3037,Childers - Biggenden,QLD,Y,95.06,0.8902,11923,2.82,53,1022,926,319011499,Bundaberg Surrounds - South
8,GP1194,Tenterfield,NSW,Y,94.25,0.8723,7081,1.563,55,885,920,110021194,Tenterfield
9,GP1203,Urbenville,NSW,Y,94.25,0.8723,7081,1.563,55,885,920,110021194,Tenterfield
10,GP4093,Yorketown,SA,Y,94.09,0.8687,4433,1.768,58,891,946,405041128,Yorke Peninsula - South
11,GP6033,Nubeena,TAS,Y,93.83,0.8628,2722,1.303,57,863,923,603031073,Forestier - Tasman
12,GP6042,St Helens,TAS,Y,93.45,0.8544,7156,1.188,56,835,911,602031064,St Helens - Scamander
13,GP6043,St Marys (Tas.),TAS,Y,93.45,0.8544,7156,1.188,56,835,911,602031064,St Helens - Scamander
14,GP4003,Angaston,SA,Y,93.16,0.8479,6931,1.212,55,901,914,407031164,Mannum
15,GP4042,Mannum,SA,Y,93.16,0.8479,6931,1.212,55,901,914,407031164,Mannum
16,GP3017,Bribie - Beachmere,QLD,Y,93.02,0.845,22137,1.695,63,961,954,313011363,Bribie Island
17,GP4096,Goolwa,SA,Y,92.94,0.8431,13463,1.923,61,970,965,407011144,Goolwa - Port Elliot
18,GP3098,Monto,QLD,Y,92.59,0.8354,3814,1.382,51,981,904,319021508,Monto - Eidsvold
19,GP1106,Kandos,NSW,Y,92.53,0.8341,3392,1.073,53,890,899,103031073,Mudgee Surrounds - East
20,GP4097,Victor Harbor,SA,Y,92.38,0.8306,16861,1.609,60,977,961,407011148,Victor Harbor
21,GP6014,Dover,TAS,Y,92.08,0.824,4383,1.883,50,1059,938,603021071,Geeveston - Dover
22,GP6018,Geeveston,TAS,Y,92.08,0.824,4383,1.883,50,1059,938,603021071,Geeveston - Dover
23,GP1128,Maclean,NSW,Y,91.96,0.8212,18241,2.133,55,1079,967,104011082,Maclean - Yamba - Iluka
24,GP6001,Beaconsfield,TAS,Y,91.87,0.8194,4204,0.864,55,944,905,602021053,Beauty Point - Beaconsfield
25,GP1042,Camden Haven,NSW,Y,91.83,0.8183,19482,2.526,58,1089,978,108041162,Laurieton - Bonny Hills
26,GP2085,Maryborough (Vic.),VIC,Y,91.51,0.8113,5703,1.045,53,956,925,201031017,Maryborough Surrounds
27,GP3088,Magnetic Island,QLD,Y,91.33,0.8074,2638,1.853,58,1001,980,318021483,Magnetic Island
28,GP3105,Murgon - Cherbourg,QLD,Y,90.96,0.7992,9951,1.406,47,950,848,319021506,Kingaroy Surrounds - North
29,GP8003,Canberra East,ACT,Y,90.6,0.7911,1194,1.358,47,1003,839,801031113,Canberra East
30,GP5006,Beverley,WA,Y,90.3,0.7845,5444,1.378,56,1102,964,509021245,York - Beverley
31,GP5105,York,WA,Y,90.3,0.7845,5444,1.378,56,1102,964,509021245,York - Beverley
32,GP2118,Seymour,VIC,Y,89.96,0.7769,6851,2.791,45,1165,902,204011059,Seymour
33,GP6002,Bicheno - Coles Bay,TAS,Y,89.86,0.7747,5263,0.804,57,1005,950,603031074,Triabunna - Bicheno
34,GP6044,Swansea,TAS,Y,89.86,0.7747,5263,0.804,57,1005,950,603031074,Triabunna - Bicheno
35,GP6045,Triabunna,TAS,Y,89.86,0.7747,5263,0.804,57,1005,950,603031074,Triabunna - Bicheno
36,GP1033,Bowraville,NSW,Y,89.84,0.7743,8409,1.619,50,1111,952,108021159,Nambucca Heads Surrounds
37,GP3104,Mundubbera,QLD,Y,89.74,0.772,6668,1.184,48,1051,902,319021503,Gayndah - Mundubbera
38,GP3031,Cardwell,QLD,Y,89.63,0.7697,11722,2.17,48,1190,943,306031161,Tully
39,GP3155,Tully,QLD,Y,89.63,0.7697,11722,2.17,48,1190,943,306031161,Tully
40,GP3025,Bundaberg,QLD,Y,89.5,0.7666,9839,1.79,49,1216,936,319011498,Bundaberg Surrounds - North
41,GP3046,Crows Nest - Goombungee,QLD,Y,89.48,0.7662,9726,1.439,50,1109,950,307021179,Crows Nest - Rosalie
42,GP2073,Lakes Entrance,VIC,Y,89.47,0.7661,6718,0.494,55,926,932,205021085,Orbost
43,GP2079,Mallacoota,VIC,Y,89.47,0.7661,6718,0.494,55,926,932,205021085,Orbost
44,GP2104,Orbost,VIC,Y,89.47,0.7661,6718,0.494,55,926,932,205021085,Orbost
45,GP1094,Harrington,NSW,Y,89.42,0.7648,13457,0.983,56,1069,959,108051170,Taree Surrounds
46,GP1215,Wingham,NSW,Y,89.42,0.7648,13457,0.983,56,1069,959,108051170,Taree Surrounds
47,GP1076,Evans Head,NSW,Y,89.37,0.7637,5918,1.876,49,1127,955,112011241,Evans Head
48,GP3124,Ravenshoe,QLD,Y,89.35,0.7633,5703,0.37,52,900,876,306051167,Herberton
49,GP3010,Beaudesert,QLD,Y,89.3,0.7622,16114,2.833,45,1199,915,311011305,Beaudesert
50,GP1087,Grafton Region,NSW,Y,89.15,0.759,17755,1.958,49,1193,951,104011081,Grafton Surrounds
51,GP2058,Heathcote,VIC,Y,89.05,0.7566,5329,1.293,53,1115,965,202021029,Heathcote
52,GP6008,Cape Barren Island,TAS,Y,88.88,0.7528,941,0.857,57,1057,963,602031099,Flinders and Cape Barren Islands
53,GP6017,Flinders Island,TAS,Y,88.88,0.7528,941,0.857,57,1057,963,602031099,Flinders and Cape Barren Islands
54,GP1117,Kyogle,NSW,Y,88.8,0.7512,7708,0.679,51,1013,930,112021247,Kyogle
55,GP2011,Beaufort,VIC,Y,88.79,0.7509,4835,2.698,49,1193,969,201031014,Beaufort
56,GP2150,Yarram,VIC,Y,88.61,0.7469,5615,0.627,53,1012,945,205051104,Yarram
57,GP5095,Toodyay,WA,Y,88.49,0.7442,5081,2.564,54,1272,986,509021244,Toodyay
58,GP3003,Allora,QLD,Y,88.45,0.7434,5255,1.252,50,1096,954,307031186,Southern Downs - West
59,GP3147,Tara,QLD,Y,88.43,0.743,4000,0.756,47,945,841,307011178,Tara
60,GP5062,Manjimup,WA,Y,88.28,0.7396,5571,1.679,53,1112,987,501031020,Pemberton
61,GP5074,Nannup,WA,Y,88.28,0.7396,5571,1.679,53,1112,987,501031020,Pemberton
